Month,Group,Commodity,Unit,Quantity_2025,Rupees_2025,Dollar_2025,Quantity_2024,Rupees_2024,Dollars_2024
2025-01,Food Group,1.Rice,M.T,577541,88902,319052,752179,133859,477521
2025-01,Food Group,A) Basmati,M.T,70696,21674,77782,80388,25055,89381
2025-01,Food Group,B) Others,M.T,506845,67228,241270,671791,108804,388140
2025-01,Food Group,2.Fish & Fish Preparations,M.T,15305,8436,30277,16707,8504,30336
2025-01,Food Group,3.Fruits,M.T,97172,11548,41442,140486,11127,39692
2025-01,Food Group,4.Vegetables,M.T,141359,9495,34076,144138,20416,72830
2025-01,Food Group,5.Leguminous Vegetables (Pulses),M.T,0,0,0,101,25,89
2025-01,Food Group,6.Tobacco,M.T,2783,3085,11071,3086,3254,11607
2025-01,Food Group,7.Wheat,M.T,0,0,0,0,0,0
2025-01,Food Group,8.Spices,M.T,2530,2315,8307,3084,2727,9729
2025-01,Food Group,"9.Oil Seeds, Nuts And Kernals",M.T,15634,4710,16902,7458,3264,11645
2025-01,Food Group,10.Sugar,M.T,124793,17927,64338,0,0,0
2025-01,Food Group,11.Meat And Meat Preparations,M.T,10498,12717,45638,10438,13152,46919
2025-01,Food Group,12.All Other Food Items,-,-,22994,82520,-,24057,85820
2025-01,Textile Group,13.Raw Cotton,M.T,0,0,0,1334,656,2340
2025-01,Textile Group,14.Cotton Yarn,M.T,24695,18139,65099,31806,22789,81295
2025-01,Textile Group,15.Cotton Cloth,M.T,31599,45995,165067,31190,44773,159719
2025-01,Textile Group,16.Cotton Carded Or Combed,M.T,0,0,0,5,2,7
2025-01,Textile Group,17.Yarn Other Than Cotton Yarn,M.T,1109,817,2933,660,588,2096
2025-01,Textile Group,18.Knitwear,TH.DOZ,24253,130493,468314,19041,102331,365050
2025-01,Textile Group,19.Bed Wear,M.T,46897,80442,288691,41567,70662,252076
2025-01,Textile Group,20.Towels,M.T,22534,28413,101970,19975,26930,96070
2025-01,Textile Group,"21.Tents,Canvas & Tarpulin",M.T,5384,4675,16778,3147,2612,9317
2025-01,Textile Group,22.Readymade Garments,TH.DOZ,7014,110618,396985,6717,93462,333411
2025-01,Textile Group,"23.Art,Silk & Synthetic Textile",M.T,7988,10384,37265,7345,9107,32486
2025-01,Textile Group,24.Madeup Articles(Excl.Towels & Bedwear.,-,-,20749,74463,-,17358,61923
2025-01,Textile Group,25.Other Textile Materials,-,-,19043,68343,-,16681,59506
2025-01,Petroleum  & Coal Group,26.Petroleum Crude,M.T,0,0,0,0,0,0
2025-01,Petroleum  & Coal Group,27.Petroleum Products(Excl Top Naphta),M.T,119659,15552,55815,163979,19362,69069
2025-01,Petroleum  & Coal Group,28.Petroleum Top Naphta,M.T,17444,3220,11557,0,0,0
2025-01,Petroleum  & Coal Group,29.Solid Fuels (Coal),M.T,0,0,0,0,0,0
2025-01,Other Manufactures Group,"30.Carpets, Rugs & Mats",TH.SQM,169,951,3414,105,889,3172
2025-01,Other Manufactures Group,31.Sports Goods,-,,8736,31351,-,8605,30696
2025-01,Other Manufactures Group,A) Footballs,TH.DOZ,285,4840,17372,346,5447,19433
2025-01,Other Manufactures Group,B) Gloves,TH.DOZ,74,1542,5535,53,1094,3902
2025-01,Other Manufactures Group,C) Others,-,-,2353,8444,-,2064,7361
2025-01,Other Manufactures Group,32.Leather Tanned,M.T,670,3146,11292,543,2749,9805
2025-01,Other Manufactures Group,33.Leather Manufactures,-,-,13804,49541,,12963,46245
2025-01,Other Manufactures Group,A) Leather Garments,TH.DOZ,138,5666,20334,191,6234,22240
2025-01,Other Manufactures Group,B) Leather Gloves,TH.DOZ,880,7815,28045,785,6379,22758
2025-01,Other Manufactures Group,C) Other Leather Manufactures,-,-,324,1162,,350,1247
2025-01,Other Manufactures Group,34.Footwear,TH.Pairs,2878,5211,18701,2525,4934,17601
2025-01,Other Manufactures Group,A) Leather Footwear,TH.Pairs,1058,3930,14106,1014,3764,13429
2025-01,Other Manufactures Group,B) Canvas Footwear,TH.Pairs,7,30,109,9,52,185
2025-01,Other Manufactures Group,C) Other Footwear,TH.Pairs,1813,1250,4486,1502,1118,3987
2025-01,Other Manufactures Group,35.Surgical Goods & Medical Instruments,-,-,11187,40149,,10562,37678
2025-01,Other Manufactures Group,36.Cutlery,-,-,1493,5357,,1303,4650
2025-01,Other Manufactures Group,37.Onyx Manufactured,M.T,87,78,281,124,113,405
2025-01,Other Manufactures Group,38.Chemicals And Pharm.Products,-,,37887,135968,,27512,98144
2025-01,Other Manufactures Group,A) Fertilizer Manufactured,M.T,0,0,0,0,0,0
2025-01,Other Manufactures Group,B) Plastic Materials,M.T,31621,10055,36085,35429,10171,36283
2025-01,Other Manufactures Group,C) Pharmaceutical Products,M.T,13770,15300,54908,4094,5930,21153
2025-01,Other Manufactures Group,D) Other Chemicals,-,-,12532,44975,-,11411,40708
2025-01,Other Manufactures Group,39.Engineering Goods,-,-,8204,29441,-,7088,25284
2025-01,Other Manufactures Group,A) Electric Fans,TH.NOS,112,702,2520,150,704,2511
2025-01,Other Manufactures Group,B) Transport Equipment,-,-,526,1887,-,88,312
2025-01,Other Manufactures Group,C) Other Electrical Machinery,-,-,1066,3825,-,658,2349
2025-01,Other Manufactures Group,D) Machinery Specialized For,,,,,,,
2025-01,Particular Industries Group,E) Auto Parts & Accessories,-,-,639,2292,-,663,2364
2025-01,Particular Industries Group,F) Rubber Tyres & Tubes,TH.NOS,1421,2639,9473,1042,1670,5957
2025-01,Particular Industries Group,G) Other Machinery,-,-,1725,6190,-,2251,8032
2025-01,Particular Industries Group,40.Gems,K.G,180,361,1296,97,214,763
2025-01,Particular Industries Group,41.Jewellary,-,-,162,583,-,108,385
2025-01,Particular Industries Group,42.Furniture,TH.NOS,67,148,531,150,224,799
2025-01,Particular Industries Group,43.Molasses,M.T,7819,286,1026,18405,898,3202
2025-01,Particular Industries Group,44.Handicrafts,-,-,0,0,-,0,0
2025-01,Particular Industries Group,45.Cement,M.T,581574,5745,20619,390572,4129,14728
2025-01,Particular Industries Group,46.Guar And Guar Products,M.T,1685,851,3055,2704,1190,4244
Month,Group,Commodity,Unit,Quantity_2025,Rupees_2025,Dollar_2025,Quantity_2024,Rupees_2024,Dollars_2024
2025-02,Food Group,1.Rice,M.T,514082,80709,288963,609463,112248,402062
2025-02,Food Group,A) Basmati,M.T,83254,24682,88368,73067,23047,82553
2025-02,Food Group,B) Others,M.T,430828,56027,200595,536396,89201,319510
2025-02,Food Group,2.Fish & Fish Preparations,M.T,15895,8747,31315,17716,8996,32222
2025-02,Food Group,3.Fruits,M.T,57791,7429,26597,133110,9883,35400
2025-02,Food Group,4.Vegetables,M.T,268135,17398,62289,171599,21038,75358
2025-02,Food Group,5.Leguminous Vegetables (Pulses),M.T,0,0,0,0,0,0
2025-02,Food Group,6.Tobacco,M.T,6072,6240,22343,1107,1154,4132
2025-02,Food Group,7.Wheat,M.T,0,0,0,0,0,0
2025-02,Food Group,8.Spices,M.T,1711,1630,5838,3339,3131,11213
2025-02,Food Group,"9.Oil Seeds, Nuts And Kernals",M.T,18982,5150,18439,3412,1442,5164
2025-02,Food Group,10.Sugar,M.T,180,25,90,0,0,0
2025-02,Food Group,11.Meat And Meat Preparations,M.T,9725,12331,44148,10386,12579,45058
2025-02,Food Group,12.All Other Food Items,-,-,16753,59981,-,25393,90955
2025-02,Textile Group,13.Raw Cotton,M.T,101,71,255,0,0,0
2025-02,Textile Group,14.Cotton Yarn,M.T,19679,14363,51424,30057,21911,78482
2025-02,Textile Group,15.Cotton Cloth,M.T,28503,41548,148757,34535,48438,173500
2025-02,Textile Group,16.Cotton Carded Or Combed,M.T,0,0,0,40,16,59
2025-02,Textile Group,17.Yarn Other Than Cotton Yarn,M.T,966,774,2772,1179,716,2566
2025-02,Textile Group,18.Knitwear,TH.DOZ,20642,102098,365545,22988,93795,335963
2025-02,Textile Group,19.Bed Wear,M.T,41275,69716,249607,41649,68071,243823
