Month,Group,Commodity,Unit,Quantity_2025,Rupees_2025,Dollar_2025,Quantity_2024,Rupees_2024,Dollar_2024
2025-06,Food Group,MILKCREAM MILK FOOD FOR INFANTS,  MT,4179.979969999999,3417.048445,12074.0,3063.711,3227.854482,11592.691
2025-06,Food Group,WHEAT UNMILLED,  MT,0.0,0.0,0.0,0.0,0.0,0.0
2025-06,Food Group,DRY FRUITS NUTS,  MT,5777.040660000001,1695.825699,5992.0,4221.926,1032.060483,3706.598
2025-06,Food Group,TEA,  MT,19804.34842,14083.965395,49767.0,19778.058,14723.612763,52879.17
2025-06,Food Group,SPICES,  MT,14951.464665,4599.111179,16251.0,17250.507,5423.524805,19478.342
2025-06,Food Group,SOYABEAN OIL,  MT,20305.56,6296.557457,22249.0,7750.0,2089.998129,7506.133
2025-06,Food Group,PALM OIL,  MT,175754.35898,55473.598716,196020.0,257530.458,68781.424401,247025.374
2025-06,Food Group,SUGAR,  MT,166.642,60.624367,214.0,142.0,41.594571,149.384
2025-06,Food Group,PULSES LEGUMINOUS VEGETABLES,  MT,63997.1318,13101.145042,46294.0,51060.586,10913.586065,39195.643
2025-06,Food Group,ALL OTHERS FOOD ITEMS,   - ,,51060.99819,180427.0,,42391.803482,152248.263
2025-06,Machinery Group,POWER GENERATING MACHINERY,   - ,,11694.644922,41324.0,,15263.435518,54817.948
2025-06,Machinery Group,OFFICE MACHINE INCLDATA PROC EQUIP,   - ,,10765.036291,38039.0,,11856.345201,42581.538
2025-06,Machinery Group,TEXTILE MACHINERY,   - ,,7851.217189,27743.0,,4687.288754,16834.18
2025-06,Machinery Group,CONSTRUCTION MINING MACHINERY,   - ,,3147.675883,11123.0,,2174.087287,7808.137
2025-06,Machinery Group,ELECTRICAL MACHINERY APPARATUS,   - ,,128763.731969,454995.0,,87699.884508,314970.106
2025-06,Machinery Group,TELE COM,   - ,,58606.618323,207090.0,,89126.50905499999,320093.76900000003
2025-06,Machinery Group,A MOBILE PHONE,   - ,,39457.42246,139425.0,,77565.886416,278574.358
2025-06,Machinery Group,B OTHER APPARATUS,   - ,,19149.195863,67665.0,,11560.622639,41519.411
2025-06,Machinery Group,AGRICULTURAL MACHINERY IMPLEMENTS,   - ,,3021.055551,10675.0,,2648.798271,9513.085
2025-06,Machinery Group,OTHER MACHINERY,   - ,,58686.702346,207373.0,,35147.710287,126231.453
2025-06,Transport Group,ROAD MOTOR VEH BUILD UNITCKDSKD,   - ,,79615.170458,281324.0,,59456.644991,213535.622
